No,領域,タイプ名,猫ネーム,キャッチ,家猫化ポイント,X,Y,チュール,キャットタワー,改善策,副作用,出典,URL,根拠区分,根拠要約,座標根拠,根拠レベル,出典2,URL2
11,デジタル,サブスク全部入り(非所有),借りぐらし上手猫,所有せず月額で借り続ける,飼い主=サービス事業者。所有による自律を手放す,9,6,「止まっても困らない」基盤の自前確保という安心,必要なものは身軽に借り、要所は自分で握れる環境,利便を享受しつつ、生活の根幹(データ・スキル・最低限の物)は所有・オフライン代替を確保する。サービス停止や値上げ、提供終了のリスクを想定し、重要データはローカル保存・移行可能な形にする。「持たない自由」と「持つことで得る自律」を使い分け、依存と身軽さのバランスを取る。,自前確保はコスト・手間増(対策:重要度で線引きし、基盤のみ二重化する),Jeremy Rifkin『The Age of Access』(2000),https://en.wikipedia.org/wiki/The_Age_of_Access,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=9、Y=6を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
12,デジタル/思想,認知アウトソース(AI思考代行),まず聞いてみる猫,考える前にAIに聞く,飼い主=AI。考える力という人間の核を手放す,10,8,「考える楽しさ」と「自分の判断への信頼」を取り戻す,AIを下書き役に使い、最終判断は自分が握れる環境,AIは下書き・壁打ち役に留め、最終的な判断・検証・責任は自分で担う。生成物を鵜呑みにせず一次情報で確認する習慣を持ち、考える過程そのものを手放さない。重要な意思決定や創造的作業では、まず自分で考えてからAIに当てる順序を守り、思考の筋力を意図的に鍛え続ける。,過度な不信は生産性を損なう(対策:用途を仕分け、検証コストに見合う使い方をする),Nicholas Carr『The Shallows』(2010)/B.Stiegler 技術論,https://en.wikipedia.org/wiki/The_Shallows_(book),既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=10、Y=8を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
13,デジタル,メタバース/ゲーム没入,仮想世界おでかけ猫,仮想世界に生活の重心を移す,飼い主=仮想空間運営。現実での自立を手放す,10,8,現実でも得られる達成感・つながりの再発見,仮想と現実を行き来でき、両方に居場所がある環境,仮想世界への没入を否定せず、現実の役割・関係と両立する設計を持つ。ゲームで得る達成感や社交を現実の活動にも還流し、生活時間の配分を意識的に管理する。仮想を「逃避先」でなく「もう一つの居場所」と位置づけ、現実の課題に向き合う力を仮想で養った自己効力感で支える。,制限が反発・離脱を生む(対策:時間でなく目的で区切り、現実側の魅力を高める),Edward Castronova『Synthetic Worlds』(2005),https://en.wikipedia.org/wiki/Edward_Castronova,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=10、Y=8を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
14,デジタル,EC・デリバリー完結生活,お取り寄せ上手猫,外出せず全てを配達で済ます,飼い主=物流PF。外界での生活技能を手放す,9,6,対面・地域の生活回路が持つ偶然の楽しさ,便利さを保ちつつ、徒歩圏に行きつけがある環境,配達・ECの利便を活かしつつ、対面・地域の生活回路も意図的に残す。買い物・通院・交流を全てオンライン化せず、歩いて行ける店や場との接点を保ち、災害時やサービス停止への耐性を確保する。利便と自律のバランスを取り、生活技能と地域の弱いつながりを維持する。,二重維持は時間負担(対策:週数回など頻度を決め習慣化する),経済産業省『電子商取引に関する市場調査』(各年),https://www.meti.go.jp/policy/it_policy/statistics/outlook/ie_outlook.html,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=9、Y=6を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
15,政治・市民参加,無関心・棄権層,投票きっかけ待ち猫,投票も発言もしない,飼い主=政治家/行政。意思表示の権利を手放す,3,7,「自分の一票が暮らしに直結する」実感を持てる争点,政治が身近で、参加コストが低く可視化された環境,身近な生活課題(保育・道路・防災等)から関心の入口を作り、投票や意見表明という最小の関与を始める。政治を遠い舞台でなく暮らしの延長として可視化し、候補者比較ツールや地域の対話の場を活用する。「どうせ変わらない」を小さな参加の成功体験で更新する。,過度な動員は反発・分断(対策:中立的な情報提供と低圧の参加機会に留める),総務省『国政選挙における投票率の推移』,https://www.soumu.go.jp/senkyo/senkyo_s/news/sonota/ritu/,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=3、Y=7を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
16,政治・市民参加,お上任せ・公助依存,相談先さがし猫,何でも行政が解決すべきと考える,飼い主=行政。自分たちで担う力を手放す,1,8,「自分たちで決められた」当事者としての達成感,自助・共助・公助が役割分担され、参加が歓迎される環境,アーンスタインの参加の梯子を上り、要求だけでなく決定過程に当事者として関わる。自助・共助・公助の役割分担を理解し、地域で担える部分は自分たちで担う。住民協議や合意形成の場に参加し、行政を「サービス提供者」から「協働の相手」へと関係を組み替える。,負担の押し付けと受け取られる恐れ(対策:強制でなく選択的参加と成功事例の共有),Sherry Arnstein『A Ladder of Citizen Participation』(1969),https://doi.org/10.1080/01944366908977225,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=1、Y=8を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
17,政治・市民参加,お客様・クレーマー型市民(自動販売機モデル),声を届けたい猫,税の対価にサービスを要求・苦情するのみ,飼い主=自治体/行政。共同統治の主体性を手放す,2,7,「提案して実現した」当事者の達成感,要求が協働に転換でき、声が形になる環境,税の対価としてサービスを要求・苦情するだけの関わりから、解決の担い手へ役割を転換する。要求を提案や協働に変える回路(住民提案制度・参加型予算・協議の場)を用意し、「お客様」から「共同統治の主体」へ。クレームの背後にある困りごとを建設的な改善につなげる仕組みを整える。,過度な参加要求は負担・対立(対策:選択的参加と苦情対応ルールの整備),新川達郎・稲継裕昭ほか 自治体経営論/公共サービス・ロジック論/カスハラ研究,https://en.wikipedia.org/wiki/New_public_management,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=2、Y=7を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
18,政治・市民参加,NIMBY,ご近所大事猫,総論賛成・各論反対,飼い主=社会全体。公共的負担の分担を手放す,3,6,負担と便益が見える、対等な対話の場,自分の声が設計に反映される、納得できる手続き環境,「総論賛成・各論反対」の背景にある不安や不公平感を対話で可視化し、便益と負担の再配分・補償を含めて合意形成する。決定の早い段階から住民を巻き込み情報を透明化することで、反対のための反対でなく建設的な調整に向かう。当事者として代替案づくりに参加する回路を用意する。,補償前提が乱用・コスト増を招く(対策:公平な基準と第三者の調整を入れる),Michael Dear『Understanding and Overcoming the NIMBY Syndrome』(1992),https://en.wikipedia.org/wiki/NIMBY,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=3、Y=6を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
19,心理/政治,政治的無力感(学習性無力感),どうせ…から一歩猫,「どうせ変わらない」と諦観,飼い主=現状/権力。変えられるという感覚を手放す,3,8,小さくても「変えられた」成功体験,努力が結果に結びつく、応答性のある環境,「どうせ変わらない」という学習性無力感は、小さな成功体験の積み重ねで更新できる。身近で結果の見えやすい課題から関与し、声を上げれば反応が返る応答的な仕組み(住民提案・即時フィードバック等)を用意する。個人の無力感を構造の問題と切り分け、効力感を再学習させる。,成功体験が伴わないと諦めが強化(対策:小さく確実に成果が出る課題から始める),Martin Seligman 学習性無力感の研究(1967〜1975),https://en.wikipedia.org/wiki/Learned_helplessness,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=3、Y=8を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
20,文化・心理,同調・空気読み,空気を読む猫,周囲に合わせ判断を保留,飼い主=空気/集団。自分の判断を手放す,5,7,異論が歓迎される安心感,多様な意見が尊重され、少数意見も守られる場,同調圧力に流されず判断を保つには、異論を述べても安全だと感じられる場の設計が要る。匿名意見箱や少人数の対話、ファシリテーションで多様な声を引き出す。小さく異論を言う練習を重ね、「みんな」の正体を相対化することで、集団規範への過剰適応から判断の主権を取り戻す。,異論奨励が対立・分断を生む恐れ(対策:対話のルールと相互尊重の土台を整える),S.Asch 同調実験(1951)/山本七平『空気の研究』(1977),https://en.wikipedia.org/wiki/Asch_conformity_experiments,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=5、Y=7を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
21,思想/心理,権威主義的従順,きちんと従う猫,強い権威に進んで従う,飼い主=権威。自由と責任を手放す,2,8,自分で決める自由がもたらす充実感,多様性と異論が許容され、思考停止を強いない環境,自由の不安から権威に逃げ込む傾向に対し、自分で考え決める経験を安全に積める場を用意する。情報を多面的に示し、単純な善悪二分や強い指導者への依存を相対化する。批判的思考やメディアリテラシーを育み、「従う安心」より「自律する充実」を体験させ、思考停止を防ぐ。,価値観の押し付けと受け取られる恐れ(対策:中立的な情報提供と対話に徹する),E.Fromm『自由からの逃走』(1941)/Adorno『The Authoritarian Personality』(1950),https://en.wikipedia.org/wiki/Escape_from_Freedom,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=2、Y=8を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
22,福祉・ケア,生活保護の長期依存,支えを使う猫,制度給付で生計を維持し続ける,飼い主=公的扶助。自立への移行機会を手放す,1,8,「働くと損」を解消する就労インセンティブ,自立への移行が段階的で、失敗しても戻れる環境,給付を否定せず、就労や中間的就労への移行を段階的に支援する。就労で給付が急減する「貧困の罠」を制度設計で緩和し、働くほど報われる仕組みにする。健康・スキル・人間関係の回復を伴走支援し、自立を強制でなく選択肢として提示することで、依存から段階的に脱する道を開く。,性急な打ち切りは困窮・健康悪化(対策:伴走支援と移行期の所得保障を併用),厚生労働省『被保護者調査』(各年),https://www.mhlw.go.jp/toukei/list/74-16.html,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=1、Y=8を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
23,福祉・健康,過剰受診・医療化,からだ相談猫,不調を全て医療に委ねる,飼い主=医療。自分の身体を管理する力を手放す,4,7,自分で不調を捉え対処できるセルフケア力,信頼できる相談先があり、過剰診療を煽られない環境,不調をすべて医療に委ねるのでなく、生活習慣の改善やセルフケアで一次対応する力を育む。信頼できるかかりつけ医や健康相談窓口を持ち、過剰検査・過剰投薬の構造を理解する。医療を適切に使いつつ、自分の身体を観察し管理する主体性を取り戻し、医療化への過度な依存を防ぐ。,受診抑制が重症化を招く恐れ(対策:危険兆候の周知と相談しやすい窓口の確保),Ivan Illich『Medical Nemesis(脱病院化社会)』(1975),https://en.wikipedia.org/wiki/Medical_Nemesis,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=4、Y=7を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
24,福祉・ケア,施設・社会的入院依存(高齢),見守られ安心猫,必要以上に施設・病院に依存,飼い主=ケア制度。地域での自立生活を手放す,3,8,「住み慣れた地域で暮らせる」在宅・地域ケア,自立度に応じた支援が選べ、役割を持てる環境,必要以上の施設・入院依存を避け、在宅・地域包括ケアで自立度を保つ。本人の残存能力を活かす役割や日課を用意し、過剰なケアによる廃用を防ぐ。介護予防・リハビリ・地域の通いの場を組み合わせ、「お世話される存在」から「地域で暮らす主体」へと支援の方向を転換する。,在宅移行は家族・地域に負担集中(対策:介護サービスと地域資源で支援を分散),OECD Health Statistics/厚労省 介護給付費等実態統計,https://en.wikipedia.org/wiki/Elderly_care,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=3、Y=8を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
25,関係・家族,過保護の子(ヘリコプターペアレント下),箱入り安心猫,親が先回りし失敗をさせない,飼い主=過保護な親。試行錯誤の自由を手放す,7,8,自分で挑戦し失敗できる安全な機会,失敗が許容され、見守られながら自己決定できる環境,親の先回りを意図的に減らし、子に試行錯誤と失敗の機会を与える。小さな自己決定(持ち物・予定・進路の選択)を任せ、結果の責任を引き受ける経験を積ませる。過保護は安全の代わりに自立と回復力を奪うことを共有し、見守りつつ手を出さない関わりへと親の側も変える。,急な放任は不安・失敗の過大リスク(対策:年齢に応じ段階的に裁量を広げる),Lukianoff & Haidt『The Coddling of the American Mind』(2018),https://en.wikipedia.org/wiki/The_Coddling_of_the_American_Mind,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=7、Y=8を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
26,文化・心理,コンフォートゾーン固着,ぬくぬく安心猫,慣れた環境から出ない,飼い主=快適な環境。挑戦と成長を手放す,6,6,少しの挑戦がもたらす成長の手応え,安全基地を保ちつつ、適度な負荷に挑める環境,快適圏に留まる傾向に対し、安全基地を残しながら適度な負荷の挑戦を少しずつ加える。大きな飛躍でなく達成可能な小さな目標で成功体験を積み、挑戦への耐性を育てる。変化を「喪失の危険」でなく「成長の機会」と捉え直し、快適圏を縮小でなく拡張する方向に動機づける。,過度な負荷は萎縮・燃え尽き(対策:難易度を段階調整し小さく試す),Yerkes-Dodson法則(1908)/J.Bardwick『Danger in the Comfort Zone』(1991),https://en.wikipedia.org/wiki/Yerkes%E2%80%93Dodson_law,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=6、Y=6を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
